model;train_metrics;test_metrics
Decision Tree_pca;{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 2519.0};{'precision': 0.03982300884955752, 'recall': 0.06976744186046512, 'f1-score': 0.05070422535211268, 'support': 129.0}
Decision Tree_pca;{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 2519.0};{'precision': 0.2875816993464052, 'recall': 0.25, 'f1-score': 0.2674772036474164, 'support': 176.0}
Decision Tree_pca;{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 2519.0};{'precision': 0.59375, 'recall': 0.5640625, 'f1-score': 0.5785256410256411, 'support': 640.0}
Decision Tree_pca;{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 2519.0};{'precision': 0.022727272727272728, 'recall': 0.058823529411764705, 'f1-score': 0.03278688524590164, 'support': 34.0}
Decision Tree_pca;{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 2519.0};{'precision': 0.08571428571428572, 'recall': 0.022900763358778626, 'f1-score': 0.03614457831325301, 'support': 131.0}
