model;train_metrics;test_metrics
Naive Bayes_pca;{'precision': 0.40190779014308425, 'recall': 0.5017864231838031, 'f1-score': 0.4463276836158192, 'support': 2519.0};{'precision': 0.15178571428571427, 'recall': 0.13178294573643412, 'f1-score': 0.14107883817427386, 'support': 129.0}
Naive Bayes_pca;{'precision': 0.6093560145808019, 'recall': 0.3981738785232235, 'f1-score': 0.4816326530612245, 'support': 2519.0};{'precision': 0.49137931034482757, 'recall': 0.32386363636363635, 'f1-score': 0.3904109589041096, 'support': 176.0}
Naive Bayes_pca;{'precision': 0.6096333572969087, 'recall': 0.33664152441445017, 'f1-score': 0.4337595907928389, 'support': 2519.0};{'precision': 0.5871345029239766, 'recall': 0.784375, 'f1-score': 0.671571906354515, 'support': 640.0}
Naive Bayes_pca;{'precision': 0.6367323290845887, 'recall': 0.43628423977768954, 'f1-score': 0.5177856301531213, 'support': 2519.0};{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 34.0}
Naive Bayes_pca;{'precision': 0.4751440153616386, 'recall': 0.8840809845176657, 'f1-score': 0.6180960310852067, 'support': 2519.0};{'precision': 0.1875, 'recall': 0.022900763358778626, 'f1-score': 0.04081632653061224, 'support': 131.0}
