model;train_metrics;test_metrics
Naive Bayes_none;{'precision': 0.3410969196093163, 'recall': 0.36046050019849146, 'f1-score': 0.35051148426944606, 'support': 2519.0};{'precision': 0.08438818565400844, 'recall': 0.15503875968992248, 'f1-score': 0.1092896174863388, 'support': 129.0}
Naive Bayes_none;{'precision': 0.6846019247594051, 'recall': 0.6212782850337435, 'f1-score': 0.6514047866805411, 'support': 2519.0};{'precision': 0.47596153846153844, 'recall': 0.5625, 'f1-score': 0.515625, 'support': 176.0}
Naive Bayes_none;{'precision': 0.8782051282051282, 'recall': 0.054386661373560935, 'f1-score': 0.10242990654205608, 'support': 2519.0};{'precision': 0.43359375, 'recall': 0.1734375, 'f1-score': 0.24776785714285715, 'support': 640.0}
Naive Bayes_none;{'precision': 0.6270022883295194, 'recall': 0.21754664549424374, 'f1-score': 0.32301797819039196, 'support': 2519.0};{'precision': 0.1, 'recall': 0.29411764705882354, 'f1-score': 0.14925373134328357, 'support': 34.0}
Naive Bayes_none;{'precision': 0.37887260087653013, 'recall': 0.9952362048431918, 'f1-score': 0.5488178633975481, 'support': 2519.0};{'precision': 0.2912621359223301, 'recall': 0.6870229007633588, 'f1-score': 0.4090909090909091, 'support': 131.0}
