model;train_metrics;test_metrics
XGBoost_rf;{'precision': 0.9984126984126984, 'recall': 0.9988090512107979, 'f1-score': 0.9986108354832308, 'support': 2519.0};{'precision': 0.3684210526315789, 'recall': 0.16279069767441862, 'f1-score': 0.22580645161290322, 'support': 129.0}
XGBoost_rf;{'precision': 0.9988085782366958, 'recall': 0.9984120682810639, 'f1-score': 0.9986102838991463, 'support': 2519.0};{'precision': 0.5138888888888888, 'recall': 0.21022727272727273, 'f1-score': 0.29838709677419356, 'support': 176.0}
XGBoost_rf;{'precision': 1.0, 'recall': 0.999603017070266, 'f1-score': 0.9998014691284495, 'support': 2519.0};{'precision': 0.600635593220339, 'recall': 0.8859375, 'f1-score': 0.7159090909090909, 'support': 640.0}
XGBoost_rf;{'precision': 0.9996031746031746, 'recall': 1.0, 'f1-score': 0.9998015479261758, 'support': 2519.0};{'precision': 0.24324324324324326, 'recall': 0.2647058823529412, 'f1-score': 0.2535211267605634, 'support': 34.0}
XGBoost_rf;{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 2519.0};{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 131.0}
