model;train_metrics;test_metrics
Gradient Boosting_mi;{'precision': 0.9992063492063492, 'recall': 0.999603017070266, 'f1-score': 0.9994046437785274, 'support': 2519.0};{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 129.0}
Gradient Boosting_mi;{'precision': 0.9996028594122319, 'recall': 0.999206034140532, 'f1-score': 0.9994044073853484, 'support': 2519.0};{'precision': 0.5913978494623656, 'recall': 0.3125, 'f1-score': 0.40892193308550184, 'support': 176.0}
Gradient Boosting_mi;{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 2519.0};{'precision': 0.5859613428280773, 'recall': 0.9, 'f1-score': 0.7097966728280961, 'support': 640.0}
Gradient Boosting_mi;{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 2519.0};{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 34.0}
Gradient Boosting_mi;{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 2519.0};{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 131.0}
