model;train_metrics;test_metrics
Random Forest_rfe;{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 2519.0};{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 129.0}
Random Forest_rfe;{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 2519.0};{'precision': 0.3974358974358974, 'recall': 0.17613636363636365, 'f1-score': 0.2440944881889764, 'support': 176.0}
Random Forest_rfe;{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 2519.0};{'precision': 0.5712871287128712, 'recall': 0.9015625, 'f1-score': 0.6993939393939393, 'support': 640.0}
Random Forest_rfe;{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 2519.0};{'precision': 0.13333333333333333, 'recall': 0.058823529411764705, 'f1-score': 0.08163265306122448, 'support': 34.0}
Random Forest_rfe;{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 2519.0};{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 131.0}
