;data_type
eq_MT_fator_diario;float64
eq_OI_fator_diario;float64
eq_SB_fator_diario;float64
eq_SP_fator_diario;float64
eq_AD_fator_total;float64
eq_AF_fator_total;int64
eq_DM_fator_total;float64
eq_DV_fator_total;int64
eq_MF_fator_total;int64
eq_MM_fator_total;float64
eq_MT_fator_total;float64
eq_OI_fator_total;float64
eq_SB_fator_total;float64
eq_SP_fator_total;float64
eq_AD_fator_medio_diario_turma;float64
eq_AF_fator_medio_diario_turma;int64
eq_DM_fator_medio_diario_turma;float64
eq_DV_fator_medio_diario_turma;int64
eq_MF_fator_medio_diario_turma;int64
eq_MM_fator_medio_diario_turma;float64
eq_MT_fator_medio_diario_turma;float64
eq_OI_fator_medio_diario_turma;float64
eq_SB_fator_medio_diario_turma;float64
eq_SP_fator_medio_diario_turma;float64
eq_AD_fator_medio_total_turma;float64
eq_AF_fator_medio_total_turma;int64
eq_DM_fator_medio_total_turma;float64
eq_DV_fator_medio_total_turma;int64
eq_MF_fator_medio_total_turma;int64
eq_MM_fator_medio_total_turma;float64
eq_MT_fator_medio_total_turma;float64
eq_OI_fator_medio_total_turma;float64
eq_SB_fator_medio_total_turma;float64
eq_SP_fator_medio_total_turma;float64
misc_EqPrim_Ad_Sin_clip;int64
misc_EqPrim_OpPrim_Ad_Num_Inc_clip;int64
misc_OI_Ad_Ad_clip;int64
misc_EqPrim_Ad_Num_clip;int64
misc_EqPrim_Dv_Simp_clip;int64
misc_EqPrim_Dv_Sin_clip;int64
misc_EqPrim_Dv_Num_clip;int64
misc_EqPrim_OpPrim_Sb_Num_Inc_clip;int64
misc_EqPrim_Ad_Inc_clip;int64
misc_OI_Dv_Plus_Dv_Minus_clip;int64
misc_OI_Mt_Minus_Ad_clip;int64
misc_OI_Mt_Minus_Sb_clip;int64
misc_OI_Mt_Plus_Mt_Plus_clip;int64
misc_OI_Dv_Plus_Dv_Plus_clip;int64
misc_EqPrim_Mt_Num_clip;int64
misc_EqPrim_Mt_Sin_clip;int64
misc_OI_Sb_Sb_clip;int64
misc_OI_Mt_Plus_Dv_Minus_clip;int64
misc_OI_Mt_Plus_Ad_clip;int64
misc_OI_Dv_Minus_Dv_Plus_clip;int64
misc_OI_Mt_Plus_Sb_clip;int64
misc_OI_Dv_Plus_Sb_clip;int64
misc_EqSec_Distrib_MtTerm_clip;int64
misc_OI_Mt_Minus_Mt_Plus_clip;int64
misc_OI_Mt_Minus_Mt_Minus_clip;int64
misc_OI_Dv_Plus_Ad_clip;int64
misc_EqPrim_Mt_Inc_clip;int64
misc_EqPrim_Dv_Inc_clip;int64
misc_OI_Dv_Minus_Dv_Minus_clip;int64
misc_EqSec_OpFrac_MMC_MtNumerador_clip;int64
misc_EqPrim_Ad_Sin_diario;int64
misc_EqPrim_OpPrim_Ad_Num_Inc_diario;int64
misc_OI_Ad_Ad_diario;int64
misc_EqPrim_Ad_Num_diario;int64
misc_EqPrim_Dv_Simp_diario;int64
misc_EqPrim_Dv_Sin_diario;int64
misc_EqPrim_Dv_Num_diario;int64
misc_EqPrim_OpPrim_Sb_Num_Inc_diario;int64
misc_EqPrim_Ad_Inc_diario;int64
misc_OI_Dv_Plus_Dv_Minus_diario;int64
misc_OI_Mt_Minus_Ad_diario;int64
misc_OI_Mt_Minus_Sb_diario;int64
misc_OI_Mt_Plus_Mt_Plus_diario;int64
misc_OI_Dv_Plus_Dv_Plus_diario;int64
misc_EqPrim_Mt_Num_diario;int64
misc_EqPrim_Mt_Sin_diario;int64
misc_OI_Sb_Sb_diario;int64
misc_OI_Mt_Plus_Dv_Minus_diario;int64
misc_OI_Mt_Plus_Ad_diario;int64
misc_OI_Dv_Minus_Dv_Plus_diario;int64
misc_OI_Mt_Plus_Sb_diario;int64
misc_OI_Dv_Plus_Sb_diario;int64
misc_EqSec_Distrib_MtTerm_diario;int64
misc_OI_Mt_Minus_Mt_Plus_diario;int64
misc_OI_Mt_Minus_Mt_Minus_diario;int64
misc_OI_Dv_Plus_Ad_diario;int64
misc_EqPrim_Mt_Inc_diario;int64
misc_EqPrim_Dv_Inc_diario;int64
