Metric,precision-train,recall-train,f1-score-train,support-train,precision-test,recall-test,f1-score-test,support-test,Model
accuracy,,,1.0,,,,0.88,,Random Forest
macro avg,1.0,0.98,0.99,3867.0,0.89,0.79,0.82,1658.0,Random Forest
weighted avg,1.0,1.0,1.0,3867.0,0.88,0.88,0.88,1658.0,Random Forest
balanced_accuracy,,,0.98,,,,0.79,,Random Forest
accuracy,,,1.0,,,,0.89,,Gradient Boosting
macro avg,1.0,0.99,0.99,3867.0,0.86,0.8,0.82,1658.0,Gradient Boosting
weighted avg,1.0,1.0,1.0,3867.0,0.88,0.89,0.88,1658.0,Gradient Boosting
balanced_accuracy,,,0.99,,,,0.8,,Gradient Boosting
accuracy,,,0.99,,,,0.88,,XGBoost
macro avg,1.0,0.99,1.0,3867.0,0.84,0.74,0.76,1658.0,XGBoost
weighted avg,0.99,0.99,0.99,3867.0,0.87,0.88,0.87,1658.0,XGBoost
balanced_accuracy,,,0.99,,,,0.74,,XGBoost
