Metric;precision-train;recall-train;f1-score-train;support-train;precision-test;recall-test;f1-score-test;support-test;Model;Feature_Selection_Type;N_Features
0;0,968;0,998;0,983;2519,000;0,258;0,194;0,221;129,000;Decision Tree_rf;selector;102
1;0,994;0,973;0,983;2519,000;0,117;0,233;0,156;176,000;Decision Tree_rf;selector;102
2;0,992;0,983;0,988;2519,000;0,652;0,520;0,579;640,000;Decision Tree_rf;selector;102
3;1,000;0,998;0,999;2519,000;0,000;0,000;0,000;34,000;Decision Tree_rf;selector;102
4;0,998;1,000;0,999;2519,000;0,023;0,008;0,011;131,000;Decision Tree_rf;selector;102
