Metric,f1-score-train,precision-train,recall-train,support-train,f1-score-test,precision-test,recall-test,support-test,Model
balanced_accuracy,1.0,,,,0.9774661779605458,,,,Random Forest_rf
kappa,1.0,,,,0.9752279373817306,,,,Random Forest_rf
accuracy,1.0,1.0,1.0,1.0,0.9777777777777777,0.9777777777777777,0.9777777777777777,0.9777777777777777,Random Forest_rf
macro avg,1.0,1.0,1.0,1437.0,0.977848456613601,0.9788484624619078,0.9774661779605458,360.0,Random Forest_rf
weighted avg,1.0,1.0,1.0,1437.0,0.9778200462175759,0.9784170591313447,0.9777777777777777,360.0,Random Forest_rf
balanced_accuracy,1.0,,,,0.9734676356456298,,,,XGBoost_rf
kappa,1.0,,,,0.969043708563714,,,,XGBoost_rf
accuracy,1.0,1.0,1.0,1.0,0.9722222222222222,0.9722222222222222,0.9722222222222222,0.9722222222222222,XGBoost_rf
macro avg,1.0,1.0,1.0,1437.0,0.9729083841551361,0.9726007234477999,0.9734676356456298,360.0,XGBoost_rf
weighted avg,1.0,1.0,1.0,1437.0,0.9722787605397365,0.9725706723357898,0.9722222222222222,360.0,XGBoost_rf
