Metric;precision-train;recall-train;f1-score-train;support-train;precision-test;recall-test;f1-score-test;support-test;Model;Feature_Selection_Type;N_Features
0;1,000;1,000;1,000;2519,000;0,000;0,000;0,000;129,000;Random Forest_none;original;473
1;1,000;1,000;1,000;2519,000;0,579;0,125;0,206;176,000;Random Forest_none;original;473
2;1,000;1,000;1,000;2519,000;0,566;0,911;0,698;640,000;Random Forest_none;original;473
3;1,000;1,000;1,000;2519,000;0,000;0,000;0,000;34,000;Random Forest_none;original;473
4;1,000;1,000;1,000;2519,000;0,000;0,000;0,000;131,000;Random Forest_none;original;473
