Metric,f1-score-train,precision-train,recall-train,support-train,f1-score-test,precision-test,recall-test,support-test,Model
balanced_accuracy,0.9823730841549008,,,,0.8810928851399276,,,,Decision Tree_rf
kappa,0.9806653800241757,,,,0.8700338668362874,,,,Decision Tree_rf
accuracy,0.9826026443980515,0.9826026443980515,0.9826026443980515,0.9826026443980515,0.8833333333333333,0.8833333333333333,0.8833333333333333,0.8833333333333333,Decision Tree_rf
macro avg,0.9826165370544497,0.9832123500695917,0.9823730841549008,1437.0,0.8793072848495914,0.8788456047363855,0.8810928851399276,360.0,Decision Tree_rf
weighted avg,0.9826260687257509,0.9830092911497049,0.9826026443980515,1437.0,0.8838886016798556,0.8856458772040583,0.8833333333333333,360.0,Decision Tree_rf
balanced_accuracy,1.0,,,,0.9802692082635762,,,,Random Forest_rf
kappa,1.0,,,,0.9783207157604955,,,,Random Forest_rf
accuracy,1.0,1.0,1.0,1.0,0.9805555555555555,0.9805555555555555,0.9805555555555555,0.9805555555555555,Random Forest_rf
macro avg,1.0,1.0,1.0,1437.0,0.9813844654470701,0.9828612479474549,0.9802692082635762,360.0,Random Forest_rf
weighted avg,1.0,1.0,1.0,1437.0,0.9805965159504323,0.9809985632183909,0.9805555555555555,360.0,Random Forest_rf
balanced_accuracy,1.0,,,,0.9777229547945661,,,,Gradient Boosting_rf
kappa,1.0,,,,0.9752334760848254,,,,Gradient Boosting_rf
accuracy,1.0,1.0,1.0,1.0,0.9777777777777777,0.9777777777777777,0.9777777777777777,0.9777777777777777,Gradient Boosting_rf
macro avg,1.0,1.0,1.0,1437.0,0.9772286617645012,0.9778102592388306,0.9777229547945661,360.0,Gradient Boosting_rf
weighted avg,1.0,1.0,1.0,1437.0,0.9778953309102824,0.9790505811934382,0.9777777777777777,360.0,Gradient Boosting_rf
balanced_accuracy,0.9902854487669923,,,,0.9799661779605457,,,,SVM_rf
kappa,0.9891728167629209,,,,0.9783248180832946,,,,SVM_rf
accuracy,0.9902574808629089,0.9902574808629089,0.9902574808629089,0.9902574808629089,0.9805555555555555,0.9805555555555555,0.9805555555555555,0.9805555555555555,SVM_rf
macro avg,0.9904318491040904,0.990702109262829,0.9902854487669923,1437.0,0.9803560494815798,0.981145561672945,0.9799661779605457,360.0,SVM_rf
weighted avg,0.9902649805003317,0.990401314900756,0.9902574808629089,1437.0,0.9805279962358001,0.9808487810833147,0.9805555555555555,360.0,SVM_rf
balanced_accuracy,1.0,,,,0.981136837713809,,,,KNN_rf
kappa,1.0,,,,0.978330409658446,,,,KNN_rf
accuracy,1.0,1.0,1.0,1.0,0.9805555555555555,0.9805555555555555,0.9805555555555555,0.9805555555555555,KNN_rf
macro avg,1.0,1.0,1.0,1437.0,0.9805273784442721,0.9805244996549345,0.981136837713809,360.0,KNN_rf
weighted avg,1.0,1.0,1.0,1437.0,0.9805297136430764,0.9810220650256882,0.9805555555555555,360.0,KNN_rf
balanced_accuracy,1.0,,,,0.981125598250401,,,,XGBoost_rf
kappa,1.0,,,,0.9783287324888419,,,,XGBoost_rf
accuracy,1.0,1.0,1.0,1.0,0.9805555555555555,0.9805555555555555,0.9805555555555555,0.9805555555555555,XGBoost_rf
macro avg,1.0,1.0,1.0,1437.0,0.9808091564067866,0.9808683473389357,0.981125598250401,360.0,XGBoost_rf
weighted avg,1.0,1.0,1.0,1437.0,0.980635667955478,0.9810416666666667,0.9805555555555555,360.0,XGBoost_rf
