Metric;precision-train;recall-train;f1-score-train;support-train;precision-test;recall-test;f1-score-test;support-test;Model;Feature_Selection_Type;N_Features
0;0,997;1,000;0,999;2519,000;0,132;0,202;0,160;129,000;Decision Tree_mi;selector;473
1;0,999;0,996;0,998;2519,000;0,130;0,233;0,167;176,000;Decision Tree_mi;selector;473
2;0,998;0,998;0,998;2519,000;0,670;0,428;0,522;640,000;Decision Tree_mi;selector;473
3;1,000;1,000;1,000;2519,000;0,000;0,000;0,000;34,000;Decision Tree_mi;selector;473
4;1,000;1,000;1,000;2519,000;1,000;0,008;0,015;131,000;Decision Tree_mi;selector;473
