Metric;precision-train;recall-train;f1-score-train;support-train;precision-test;recall-test;f1-score-test;support-test;Model;Feature_Selection_Type;N_Features
0;1,000;1,000;1,000;2519,000;0,043;0,023;0,030;129,000;Decision Tree_none;original;473
1;1,000;1,000;1,000;2519,000;0,250;0,068;0,107;176,000;Decision Tree_none;original;473
2;1,000;1,000;1,000;2519,000;0,561;0,416;0,478;640,000;Decision Tree_none;original;473
3;1,000;1,000;1,000;2519,000;0,142;0,588;0,229;34,000;Decision Tree_none;original;473
4;1,000;1,000;1,000;2519,000;0,080;0,229;0,118;131,000;Decision Tree_none;original;473
