Metric;precision-train;recall-train;f1-score-train;support-train;precision-test;recall-test;f1-score-test;support-test;Model;Feature_Selection_Type;N_Features
0;0,830;0,837;0,834;2519,000;0,023;0,085;0,037;129,000;Logistic Regression_none;original;473
1;0,901;0,929;0,915;2519,000;0,160;0,199;0,177;176,000;Logistic Regression_none;original;473
2;0,855;0,753;0,801;2519,000;0,739;0,256;0,381;640,000;Logistic Regression_none;original;473
3;0,922;0,963;0,942;2519,000;0,101;0,382;0,160;34,000;Logistic Regression_none;original;473
4;0,948;0,980;0,964;2519,000;0,224;0,115;0,152;131,000;Logistic Regression_none;original;473
