Metric;precision-train;recall-train;f1-score-train;support-train;precision-test;recall-test;f1-score-test;support-test;Model;Feature_Selection_Type;N_Features
0;1,000;1,000;1,000;109,000;1,000;1,000;1,000;17,000;Logistic Regression_none;original;532
1;1,000;1,000;1,000;158,000;1,000;1,000;1,000;23,000;Logistic Regression_none;original;532
2;1,000;1,000;1,000;522,000;1,000;1,000;1,000;109,000;Logistic Regression_none;original;532
3;1,000;1,000;1,000;63,000;1,000;1,000;1,000;20,000;Logistic Regression_none;original;532
4;1,000;1,000;1,000;50,000;1,000;1,000;1,000;26,000;Logistic Regression_none;original;532
