Metric,f1-score-train,precision-train,recall-train,support-train,f1-score-test,precision-test,recall-test,support-test,Model
balanced_accuracy,0.9696242145486517,,,,0.8160857875233182,,,,Decision Tree_pca
kappa,0.966744238864963,,,,0.7957078002476269,,,,Decision Tree_pca
accuracy,0.9700765483646486,0.9700765483646486,0.9700765483646486,0.9700765483646486,0.8166666666666667,0.8166666666666667,0.8166666666666667,0.8166666666666667,Decision Tree_pca
macro avg,0.9697756690748252,0.9709534577657267,0.9696242145486517,1437.0,0.8163121611673224,0.8178965181632281,0.8160857875233182,360.0,Decision Tree_pca
weighted avg,0.9699826072137527,0.9709122272326479,0.9700765483646486,1437.0,0.8174536946390643,0.8196699689669562,0.8166666666666667,360.0,Decision Tree_pca
balanced_accuracy,0.9400091627810232,,,,0.8635077166851939,,,,Decision Tree_rf
kappa,0.93348718903692,,,,0.8514340738702799,,,,Decision Tree_rf
accuracy,0.9401530967292971,0.9401530967292971,0.9401530967292971,0.9401530967292971,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667,Decision Tree_rf
macro avg,0.9402193862353853,0.9417229707101559,0.9400091627810232,1437.0,0.8621221915339561,0.8676452790435327,0.8635077166851939,360.0,Decision Tree_rf
weighted avg,0.9400567025785737,0.941267255027707,0.9401530967292971,1437.0,0.8668996934438112,0.8730675214580543,0.8666666666666667,360.0,Decision Tree_rf
balanced_accuracy,1.0,,,,0.9769363490076881,,,,Random Forest_pca
kappa,1.0,,,,0.9721374209915294,,,,Random Forest_pca
accuracy,1.0,1.0,1.0,1.0,0.975,0.975,0.975,0.975,Random Forest_pca
macro avg,1.0,1.0,1.0,1437.0,0.9766371194229059,0.9766544284734044,0.9769363490076881,360.0,Random Forest_pca
weighted avg,1.0,1.0,1.0,1437.0,0.9749683467220334,0.9752458777784708,0.975,360.0,Random Forest_pca
balanced_accuracy,1.0,,,,0.9727493918263631,,,,Random Forest_rf
kappa,1.0,,,,0.9690381175175451,,,,Random Forest_rf
accuracy,1.0,1.0,1.0,1.0,0.9722222222222222,0.9722222222222222,0.9722222222222222,0.9722222222222222,Random Forest_rf
macro avg,1.0,1.0,1.0,1437.0,0.972617654987203,0.9732428307865402,0.9727493918263631,360.0,Random Forest_rf
weighted avg,1.0,1.0,1.0,1437.0,0.9721697437496437,0.9728797910091379,0.9722222222222222,360.0,Random Forest_rf
