Metric;precision-train;recall-train;f1-score-train;support-train;precision-test;recall-test;f1-score-test;support-test;Model;Feature_Selection_Type;N_Features;Total_Variance_Explained
0;1,000;1,000;1,000;145,000;0,929;0,788;0,852;33,000;Decision Tree_pca;pca;18;0,765
1;1,000;1,000;1,000;154,000;0,839;0,929;0,881;28,000;Decision Tree_pca;pca;18;0,765
2;1,000;1,000;1,000;144,000;0,833;0,758;0,794;33,000;Decision Tree_pca;pca;18;0,765
3;1,000;1,000;1,000;149,000;0,667;0,765;0,712;34,000;Decision Tree_pca;pca;18;0,765
4;1,000;1,000;1,000;135,000;0,891;0,891;0,891;46,000;Decision Tree_pca;pca;18;0,765
5;1,000;1,000;1,000;135,000;0,857;0,766;0,809;47,000;Decision Tree_pca;pca;18;0,765
6;1,000;1,000;1,000;146,000;0,868;0,943;0,904;35,000;Decision Tree_pca;pca;18;0,765
7;1,000;1,000;1,000;145,000;0,794;0,794;0,794;34,000;Decision Tree_pca;pca;18;0,765
8;1,000;1,000;1,000;144,000;0,636;0,700;0,667;30,000;Decision Tree_pca;pca;18;0,765
9;1,000;1,000;1,000;140,000;0,641;0,625;0,633;40,000;Decision Tree_pca;pca;18;0,765
0;0,966;0,993;0,980;145,000;0,833;0,909;0,870;33,000;Decision Tree_none;original;64;
1;0,916;0,994;0,953;154,000;0,649;0,857;0,738;28,000;Decision Tree_none;original;64;
2;0,958;0,958;0,958;144,000;0,969;0,939;0,954;33,000;Decision Tree_none;original;64;
3;0,929;0,973;0,951;149,000;0,690;0,853;0,763;34,000;Decision Tree_none;original;64;
4;0,924;0,985;0,953;135,000;0,736;0,848;0,788;46,000;Decision Tree_none;original;64;
5;0,947;0,926;0,936;135,000;0,838;0,660;0,738;47,000;Decision Tree_none;original;64;
6;0,979;0,973;0,976;146,000;0,970;0,914;0,941;35,000;Decision Tree_none;original;64;
7;0,993;0,972;0,983;145,000;0,882;0,882;0,882;34,000;Decision Tree_none;original;64;
8;0,963;0,903;0,932;144,000;0,667;0,800;0,727;30,000;Decision Tree_none;original;64;
9;0,984;0,864;0,920;140,000;0,850;0,425;0,567;40,000;Decision Tree_none;original;64;
0;1,000;0,979;0,990;145,000;1,000;0,879;0,935;33,000;Naive Bayes_pca;pca;51;0,986
1;0,875;0,955;0,913;154,000;0,743;0,929;0,825;28,000;Naive Bayes_pca;pca;51;0,986
2;0,976;0,854;0,911;144,000;0,906;0,879;0,892;33,000;Naive Bayes_pca;pca;51;0,986
3;0,935;0,872;0,903;149,000;0,968;0,882;0,923;34,000;Naive Bayes_pca;pca;51;0,986
4;0,884;0,844;0,864;135,000;0,907;0,848;0,876;46,000;Naive Bayes_pca;pca;51;0,986
5;0,936;0,970;0,953;135,000;0,915;0,915;0,915;47,000;Naive Bayes_pca;pca;51;0,986
6;0,993;0,959;0,976;146,000;1,000;0,971;0,986;35,000;Naive Bayes_pca;pca;51;0,986
7;0,966;0,966;0,966;145,000;1,000;0,912;0,954;34,000;Naive Bayes_pca;pca;51;0,986
8;0,839;0,903;0,870;144,000;0,844;0,900;0,871;30,000;Naive Bayes_pca;pca;51;0,986
9;0,868;0,943;0,904;140,000;0,804;0,925;0,860;40,000;Naive Bayes_pca;pca;51;0,986
0;0,973;0,993;0,983;145,000;1,000;0,939;0,969;33,000;Naive Bayes_none;original;64;
1;0,830;0,792;0,811;154,000;0,815;0,786;0,800;28,000;Naive Bayes_none;original;64;
2;0,988;0,576;0,728;144,000;0,900;0,545;0,679;33,000;Naive Bayes_none;original;64;
3;0,966;0,765;0,854;149,000;0,906;0,853;0,879;34,000;Naive Bayes_none;original;64;
4;0,990;0,726;0,838;135,000;1,000;0,783;0,878;46,000;Naive Bayes_none;original;64;
5;0,895;0,948;0,921;135,000;0,898;0,936;0,917;47,000;Naive Bayes_none;original;64;
6;0,935;0,986;0,960;146,000;0,897;1,000;0,946;35,000;Naive Bayes_none;original;64;
7;0,702;0,993;0,823;145,000;0,673;0,971;0,795;34,000;Naive Bayes_none;original;64;
8;0,572;0,882;0,694;144,000;0,562;0,900;0,692;30,000;Naive Bayes_none;original;64;
9;0,906;0,757;0,825;140,000;0,931;0,675;0,783;40,000;Naive Bayes_none;original;64;
