Metric,precision-train,recall-train,f1-score-train,support-train,precision-test,recall-test,f1-score-test,support-test,Model
0,1.0,0.88,0.94,17.0,1.0,0.47,0.64,19.0,Random Forest
1,1.0,0.99,0.99,434.0,0.85,0.71,0.77,195.0,Random Forest
2,1.0,1.0,1.0,637.0,0.86,0.84,0.85,270.0,Random Forest
3,1.0,1.0,1.0,2231.0,0.9,0.94,0.92,928.0,Random Forest
4,1.0,0.99,0.99,285.0,0.88,0.87,0.88,129.0,Random Forest
5,0.99,1.0,1.0,263.0,0.85,0.89,0.87,117.0,Random Forest
accuracy,,,1.0,,,,0.88,,Random Forest
macro avg,1.0,0.98,0.99,3867.0,0.89,0.79,0.82,1658.0,Random Forest
weighted avg,1.0,1.0,1.0,3867.0,0.88,0.88,0.88,1658.0,Random Forest
balanced_accuracy,,,0.98,,,,0.79,,Random Forest
0,1.0,0.94,0.97,17.0,0.83,0.53,0.65,19.0,Gradient Boosting
1,1.0,1.0,1.0,434.0,0.84,0.74,0.79,195.0,Gradient Boosting
2,1.0,1.0,1.0,637.0,0.86,0.89,0.87,270.0,Gradient Boosting
3,1.0,1.0,1.0,2231.0,0.91,0.94,0.92,928.0,Gradient Boosting
4,1.0,1.0,1.0,285.0,0.89,0.84,0.86,129.0,Gradient Boosting
5,1.0,1.0,1.0,263.0,0.84,0.85,0.85,117.0,Gradient Boosting
accuracy,,,1.0,,,,0.89,,Gradient Boosting
macro avg,1.0,0.99,0.99,3867.0,0.86,0.8,0.82,1658.0,Gradient Boosting
weighted avg,1.0,1.0,1.0,3867.0,0.88,0.89,0.88,1658.0,Gradient Boosting
balanced_accuracy,,,0.99,,,,0.8,,Gradient Boosting
0,1.0,1.0,1.0,17.0,0.8,0.21,0.33,19.0,XGBoost
1,1.0,0.97,0.98,434.0,0.84,0.68,0.75,195.0,XGBoost
2,1.0,0.99,0.99,637.0,0.85,0.86,0.86,270.0,XGBoost
3,0.99,1.0,1.0,2231.0,0.9,0.94,0.92,928.0,XGBoost
4,1.0,1.0,1.0,285.0,0.84,0.9,0.87,129.0,XGBoost
5,1.0,1.0,1.0,263.0,0.83,0.84,0.83,117.0,XGBoost
accuracy,,,0.99,,,,0.88,,XGBoost
macro avg,1.0,0.99,1.0,3867.0,0.84,0.74,0.76,1658.0,XGBoost
weighted avg,0.99,0.99,0.99,3867.0,0.87,0.88,0.87,1658.0,XGBoost
balanced_accuracy,,,0.99,,,,0.74,,XGBoost
