Metric;precision-train;recall-train;f1-score-train;support-train;precision-test;recall-test;f1-score-test;support-test;Model;Feature_Selection_Type;N_Features
0;1,000;1,000;1,000;2519,000;0,274;0,333;0,301;129,000;KNN_rf;selector;47
1;1,000;1,000;1,000;2519,000;0,363;0,352;0,357;176,000;KNN_rf;selector;47
2;1,000;1,000;1,000;2519,000;0,617;0,495;0,549;640,000;KNN_rf;selector;47
3;1,000;1,000;1,000;2519,000;0,095;0,471;0,158;34,000;KNN_rf;selector;47
4;1,000;1,000;1,000;2519,000;0,172;0,130;0,148;131,000;KNN_rf;selector;47
